# name  ebv   ebv_u      rv   rv_u    c1   c1_u  c2     c2_u     c3     c3_u     c4     c4_u     x0     x0_u     gamma  gamma_u
Sk-68d140 0.200  0.028	3.27  0.24 -1.547  0.509  1.247  0.197  1.151  0.303  0.357  0.148  4.464  0.039  0.855  0.014
Sk-68d155 0.200  0.028	2.83  0.23 -2.689  0.487  1.580  0.230  0.923  0.170  0.117  0.049  4.617  0.021  0.693  0.012
Sk-69d228 0.150  0.028	3.35  0.33 -2.443  0.662  1.373  0.275  0.716  0.234  -0.115  0.065  4.721  0.049  0.643  0.011
Sk-69d256 0.170  0.028	0.64  0.19 -1.139  0.493  1.101  0.205  0.746  0.271  0.257  0.133  4.817  0.062  0.751  0.013
Sk-69d265 0.190  0.028	1.68  0.19 -3.083  0.612  1.509  0.237  0.360  0.101  -0.313  0.152  4.363  0.036  0.536  0.009
Sk-69d270 0.190  0.028	2.34  0.22 -3.926  0.755  1.821  0.281  3.725  0.837  0.208  0.091  4.509  0.034  1.290  0.021
Sk-69d279 0.210  0.028	3.33  0.26 -2.669  0.551  1.350  0.196  0.978  0.248  0.017  0.009  4.602  0.032  0.708  0.012
Sk-69d280 0.180  0.028	3.12  0.27  0.468  0.282  0.809  0.142  1.209  0.306  0.232  0.130  4.470  0.032  0.667  0.011
Sk-70d116 0.190  0.028	3.41  0.27 -1.707  0.567  1.153  0.192  6.557  1.504  0.193  0.080  4.387  0.047  1.878  0.031
Sk-66d19  0.250  0.028	3.44  0.21 -0.724  0.282  0.902  0.116  3.036  0.465  0.276  0.118  4.567  0.027  1.132  0.030
Sk-66d88  0.280  0.028	3.67  0.19 -0.960  0.276  1.051  0.115  2.095  0.310  0.113  0.042  4.580  0.016  0.916  0.015
Sk-67d2   0.150  0.028	3.62  0.35 -3.914  0.851  1.781  0.347  3.680  0.744  0.884  0.239  4.566  0.014  0.996  0.016
Sk-68d23  0.310  0.021	3.35  0.13 -0.152  0.070  0.696  0.053  4.647  0.572  0.453  0.108  4.493  0.014  1.135  0.019
Sk-68d26  0.186  0.020	3.43  0.24 -1.076  0.343  1.082  0.130  4.085  0.621  0.121  0.045  4.622  0.015  1.076  0.018
Sk-68d129 0.170  0.028	3.36  0.30 -2.318  0.507  1.388  0.243  1.632  0.340  0.468  0.162  4.569  0.019  0.790  0.013
Sk-69d108 0.310  0.028	3.15  0.16 -1.262  0.327  0.992  0.102  5.046  0.621  0.384  0.101  4.519  0.010  1.079  0.017
Sk-69d206 0.260  0.028	3.68  0.21 -1.243  0.342  1.217  0.144  1.169  0.204  0.016  0.007  4.500  0.020  0.689  0.011
Sk-69d210 0.410  0.028	3.32  0.12 -1.559  0.187  1.182  0.087  1.583  0.166  0.307  0.074  4.641  0.007  0.720  0.011
Sk-69d213 0.160  0.028	3.96  0.36 -2.791  0.703  1.594  0.300  1.816  0.337  0.527  0.177  4.564  0.018  0.735  0.014
