Star        a_l*1E3 a_2*1E3 a_3*1E3  gam_1  gam_2  gam_3   x_10   x_20    x_03     b_0      b_1      b_2      b_3     b_4
BD+44 1080    4.608   3.005   4.009  0.300  0.230  0.262  1.636   2.065  2.285   9.408  -27.800    14.10    18.92  -17.21 
BD+56 517     2.140   6.139   6.853  0.176  0.209  0.251  1.569   2.057  2.290   5.270   -4.389   -34.87    63.59  -32.06 
BD+56 518     8.050   7.058   8.537  0.300  0.231  0.300  1.577   2.052  2.301   6.000   -7.353   -31.61    63.44  -32.85 
BD+56 576     1.664   6.462   3.377  0.151  0.205  0.195  1.564   2.057  2.285   5.071   -2.996   -37.72    65.43  -32.17 
BD+69 1231    0.423   3.985   1.087  0.083  0.182  0.109  1.573   2.068  2.281  12.913  -54.559    86.42   -63.75   16.75 
BD+71 92     11.017  10.218   1.806  0.300  0.256  0.158  1.609   2.068  2.273   6.852   -8.932   -40.23    87.37  -48.10 
CPD-41 7715   0.228   2.048   1.225  0.086  0.171  0.148  1.571   2.052  2.290   3.684    4.846   -51.30    72.90  -32.61 
CPD-57 3507   7.548   0.543   0.304  0.275  0.088  0.056  1.585   2.058  2.305   2.203   15.575   -78.23   100.73  -42.57 
CPD-57 3523   0.937   1.057  10.445  0.148  0.108  0.300  1.668   2.069  2.307   4.789   -2.622   -35.71    61.83  -30.92 
CPD-59 2591   0.439   0.791   3.192  0.121  0.114  0.218  1.569   2.056  2.289   1.918   15.054   -72.46    92.24  -39.88 
CPD-59 2600   0.277   1.113   4.024  0.085  0.118  0.216  1.579   2.053  2.307   3.477    4.449   -46.35    64.44  -28.96 
CPD-59 2625   7.622   4.808   0.015  0.300  0.232  0.010  1.621   2.040  2.236   3.714    8.139   -67.51    98.29  -45.67 
HD 13338      2.480   9.761   8.707  0.174  0.230  0.271  1.561   2.059  2.284   5.317   -5.032   -33.28    62.44  -32.01 
HD 14250      1.869  13.452   8.030  0.162  0.268  0.278  1.561   2.049  2.296   5.512   -5.677   -33.09    63.22  -32.53 
HD 14321      1.147   4.361   4.823  0.139  0.187  0.232  1.565   2.056  2.288   6.718  -14.099    -9.58    34.12  -19.36 
HD 17443      0.003   0.218   2.180  0.006  0.073  0.192  1.664   2.084  2.265  15.595  -70.846   124.15  -103.36   32.81 
HD 18352      1.682   5.502  13.090  0.154  0.194  0.300  1.563   2.054  2.285   7.070  -17.963     1.54    21.91  -14.74 
